Ðò,»úÖÖÐÍºÅ,²úÆ·S/NÌõÂë,Éú²úÈÕÆÚ,Éú²úÏßÌå,Ä£¾ß±àÂë,ÖÎ¾ß±àºÅ,°ó¶¨²ÄÁÏ(BR),°ó¶¨²ÄÁÏ(FR),¿Õ¸ñ¼ü,¿¾¼ÜºÅ,¿¾Ïä±àºÅ,Done X/Y 100%Õ¾,Peak forceÕ¾,ÏäºÅ
17,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2001041J,2024-03-20 23:24:08,Line16,19009A06 19006B02,X1777US0263,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
18,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2001561J,2024-03-21 00:24:33,Line16,19009A06 19006B02,X1777US0062,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
19,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2001601J,2024-03-21 00:24:38,Line16,19009A06 19006B02,X1777US0169,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
20,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2001641J,2024-03-21 00:24:17,Line16,19009A06 19006B02,X1777US0001,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
21,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2001681J,2024-03-21 00:24:12,Line16,19009A06 19006B02,X1777US0047,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
22,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2001791J,2024-03-21 00:24:48,Line16,19009A06 19006B02,X1777US0263,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
23,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2002311J,2024-03-21 00:24:58,Line16,19009A06 19006B02,X1777US0043,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
24,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2002321J,2024-03-21 00:24:53,Line16,19009A06 19006B02,X1777US0154,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
25,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2002441J,2024-03-21 00:24:43,Line16,19009A06 19006B02,X1777US0219,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
26,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2002471J,2024-03-21 00:03:35,Line16,19009A06 19006B02,X1777US0303,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
27,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2002491J,2024-03-21 00:03:30,Line16,19009A06 19006B02,X1777US0219,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
28,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2003011J,2024-03-20 23:24:54,Line16,19009A06 19006B02,X1777US0081,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
29,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2005621J,2024-03-21 00:03:50,Line16,19009A06 19006B02,X1777US0338,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
30,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2005631J,2024-03-21 00:03:45,Line16,19009A06 19006B02,X1777US0031,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
31,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2005791J,2024-03-20 23:23:47,Line16,19009A06 19006B02,X1777US0134,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
32,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2006031J,2024-03-21 00:03:03,Line16,19009A06 19006B02,X1777US0167,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
33,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2006391J,2024-03-21 00:03:24,Line16,19009A06 19006B02,X1777US0108,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
34,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2006401J,2024-03-21 00:03:20,Line16,19009A06 19006B02,X1777US0062,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
35,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2006491J,2024-03-21 00:03:09,Line16,19009A06 19006B02,X1777US0192,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
36,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2006701J,2024-03-21 00:23:48,Line16,19009A06 19006B02,X1777US0303,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
37,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2007241J,2024-03-20 23:21:29,Line16,19009A06 19006B02,X1777US0276,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
38,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2007261J,2024-03-20 23:24:59,Line16,19009A06 19006B02,X1777US0063,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
39,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2007421J,2024-03-20 20:47:39,Line16,19009A06 19006B02,X1777US0110,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
40,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2008211J,2024-03-20 23:25:25,Line16,19009A06 19006B02,X1777US0032,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
41,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2008221J,2024-03-20 23:25:30,Line16,19009A06 19006B02,X1777US0110,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
42,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2008231J,2024-03-20 23:25:20,Line16,19009A06 19006B02,X1777US0214,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
43,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2008651J,2024-03-20 23:24:44,Line16,19009A06 19006B02,X1777US0083,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
44,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2008841J,2024-03-21 00:02:52,Line16,19009A06 19006B02,X1777US0110,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
45,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2011151J,2024-03-20 20:11:54,Line16,19009A06 19006B02,X1777US0219,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,231,¿¾ÏäL33,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
46,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2097831J,2024-03-21 00:17:39,Line16,19009A06 19006B02,X1777US0154,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
47,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2154431J,2024-03-21 03:29:44,Line16,19009A06 19006B02,X1777US0154,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,111,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
48,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2191601J,2024-03-21 03:31:02,Line16,19009A06 19006B02,X1777US0036,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,111,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
49,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2192681J,2024-03-21 03:31:28,Line16,19009A06 19006B02,X1777US0134,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,111,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
50,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2201581J,2024-03-21 00:18:15,Line16,19009A06 19006B02,X1777US0332,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
51,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2204301J,2024-03-21 00:17:29,Line16,19009A06 19006B02,X1777US0219,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
52,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2234261J,2024-03-20 23:20:58,Line16,19009A06 19006B02,X1777US0043,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
53,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2242781J,2024-03-21 00:17:55,Line16,19009A06 19006B02,X1777US0263,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
54,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2243081J,2024-03-21 00:15:16,Line16,19009A06 19006B02,X1777US0254,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
55,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2245901J,2024-03-21 00:15:10,Line16,19009A06 19006B02,X1777US0212,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
56,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2248431J,2024-03-20 22:23:59,Line16,19009A06 19006B02,X1777US0083,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,343,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
57,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2279821J,2024-03-20 23:28:01,Line16,19009A06 19006B02,X1777US0065,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
58,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2284441J,2024-03-20 23:38:42,Line16,19009A06 19006B02,X1777US0081,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
59,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2284481J,2024-03-20 23:38:47,Line16,19009A06 19006B02,X1777US0043,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
60,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2286301J,2024-03-20 23:37:52,Line16,19009A06 19006B02,X1777US0053,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
61,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2287001J,2024-03-20 23:37:42,Line16,19009A06 19006B02,X1777US0282,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
62,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2293441J,2024-03-20 22:39:15,Line16,19009A06 19006B02,X1777US0032,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,343,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
63,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2293611J,2024-03-20 22:39:05,Line16,19009A06 19006B02,X1777US0296,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,343,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
64,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2293671J,2024-03-20 22:39:10,Line16,19009A06 19006B02,X1777US0332,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,343,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
65,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2293691J,2024-03-20 22:39:20,Line16,19009A06 19006B02,X1777US0212,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,343,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
66,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2294971J,2024-03-21 00:20:38,Line16,19009A06 19006B02,X1777US0047,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
67,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2295061J,2024-03-20 22:30:21,Line16,19009A06 19006B02,X1777US0134,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,343,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
68,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2295251J,2024-03-20 23:37:57,Line16,19009A06 19006B02,X1777US0119,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
69,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2296371J,2024-03-20 22:34:24,Line16,19009A06 19006B02,X1777US0332,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,343,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
70,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2298361J,2024-03-21 00:01:48,Line16,19009A06 19006B02,X1777US0081,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
71,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2298421J,2024-03-21 00:01:53,Line16,19009A06 19006B02,X1777US0065,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
72,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2298681J,2024-03-20 23:38:52,Line16,19009A06 19006B02,X1777US0137,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
73,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2298871J,2024-03-20 23:20:53,Line16,19009A06 19006B02,X1777US0188,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
74,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2300021J,2024-03-21 00:05:44,Line16,19009A06 19006B02,X1777US0071,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
75,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2300051J,2024-03-21 00:05:48,Line16,19009A06 19006B02,X1777US0296,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
76,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2300281J,2024-03-20 22:39:44,Line16,19009A06 19006B02,X1777US0063,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,343,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
77,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2300301J,2024-03-21 00:05:53,Line16,19009A06 19006B02,X1777US0214,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
78,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2300371J,2024-03-21 00:16:27,Line16,19009A06 19006B02,X1777US0032,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
